Job Title,Company,Location,Posted Time,Salary,URL,Job Description
Senior Machine Learning Engineer ,Tubi,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 6:01 AM
19 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fjob-boards%2Egreenhouse%2Eio%2Ftubitv%2Fjobs%2F7409142&urlhash=GNp8&isSdui=true,
"Member of Technical Staff, Modeling",Boson AI,"Toronto, ON (On-site)","Posted on January 23, 2026, 5:43 AM
19 hours ago",,https://www.linkedin.com/jobs/view/4266777240/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=pzQ4iftoVLGmC3pgz9BUNg%3D%3D&eBP=CwEAAAGb7rBaYZl30bQqKCwddi8bPhdwqoFAl8eXCsIMxQKRrCfl8l2gJAx72gKhQr6yaZkmoSZnyqNvKN10AXy7G0XuRYr8v1JUfaaKxBc3SU-Dl_l2LbNhWNDL424W-86J0QswyFYRN-wA_tS4B8ahsomgdJNpFXLncRhOyoXs6lpsBoTdIqt7CrkVvI1Idv1olZZLMUTRDEjjZoJtSDpCh9atO_YDfFf7eLviUWIwnpz1Lmw7SLpJ4bpeVDTsoLit0D8Zdj3nNgiOwyVIF894F2pPbRVLdW5Bh9Msp3va644TSYZtTjUOJLLw5A_LvWSbSdek0u76qPIdjI3j70rc9GdwIah0OEv62ig1Rb15d7T6yE2OvGnsC4uTikRPtb2IrlOc-3ul4qul_18rc9oUohJR1wE1RIIo795kiglimT5P3yMFUFYYn-alWDdue8-QPHDgeVIJfbrp31O1GBqyDdh-812qZ7z2FZjmRK8d1Wk1uZY_N6Vw-QS7ILJXm_rJl7hmll8xjTAJPpmHnXEi0rTjelpam7iMHN_NxCh0bz4,
Compiler Code Gen Engineer,Lemurian Labs,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 11:22 PM
2 hours ago",,https://www.linkedin.com/jobs/view/4365643475/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=HNZU%2BWfrjoWlIFA93kJ3Ig%3D%3D&eBP=CwEAAAGb7rBaYRGrQhftgUyh_LT8dI1icmSozpJ6rKTaKpZ4GqSwPRub1cN5HdgCs-tP4f-pcdFkQrMMNtAM5p__WvBE0oEzRFWVHcXK6h9TWDHccKW7uX3-I6FtdMZwAZY7KWc7uReNtGN-DTr6-GCVqxxhyVusDaI85FDNgXweIKWe_n1xJgCkm0yKKqXceNmYdrmROk5x-vmoCkKeY2u2gv-8NYn_DOh9akz7gUPbxCOZKG8FqqUlFXc9Xxo3I1BM-z5MWsibjb2Yxj8OM-FMKw_h8b9lRQeZGujFx43Pw7U_R09G4lRPmT_mbIOvRzbvBVVpXOyX2dyDo57x31nvuIlvcANHKn7LFSXndVutmuW_6woMPwjGYbOxTPajeRqUU6SqneB9H_zpth4VHfARi1-6DIjpcrlLCTww5n7lceZ7vXcXDHPd3am5RFs9tntD4QKjJ6fhJyk6k5URolH69TYyS8HDpwhu3wAG0ro91EQOLy4cOEK-I7IejSw1QWYaaFqSaRMDb6PzgyREOTcJj5YYlm3pqfY5mrhKXhUWHBw,
Deep Learning Researcher Intern - Model Optimization ,STMicroelectronics,"Toronto, ON (On-site)","Posted on January 23, 2026, 6:09 AM
19 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fstmicroelectronics%2Eeightfold%2Eai%2Fcareers%2Fjob%2F563637169997992%3Futm_source%3Dlinkedin%26domain%3Dstmicroelectronics%2Ecom&urlhash=juDM&isSdui=true,
ModiFace - Senior MLOps Engineer (Contract),L'Or??al,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 4:09 PM
9 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Floa%2Eavature%2Enet%2Fcareers%2FJobDetail%2F231465%3Fsrc%3DLinkedIn&urlhash=lXGH&isSdui=true,
"Dir., Analyses avanc??es (Analyses quant.) ",TD,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 8:40 PM
4 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Ftd%2Ewd3%2Emyworkdayjobs%2Ecom%2Ffr-CA%2FTD_Bank_Careers%2Fjob%2FToronto-Ontario%2FManager--Advanced-Analytic---Trading-Surveillance_R_1451147&urlhash=tqLm&isSdui=true,
"Manager, Advanced Analytics ",TD,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 9:41 PM
3 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Ftd%2Ewd3%2Emyworkdayjobs%2Ecom%2FTD_Bank_Careers%2Fjob%2FToronto-Ontario%2FManager--Advanced-Analytics_R_1451145%3Fsource%3DLinkedIn&urlhash=dIWk&isSdui=true,
Machine Learning Intern Fall 2026 (Toronto) ,Pinterest,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 8:42 PM
4 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Epinterestcareers%2Ecom%2Fjobs%2F7268778%2Fmachine-learning-intern-fall-2026-toronto%2F%3Fsource%3Dlinkedin_limited_listing%26utm_source%3Dlinkedin_limited_listing&urlhash=BIAY&isSdui=true,
"Senior Staff Machine Learning Engineer, (ML Underwriting) ",Affirm,"Toronto, ON (Remote)","Posted on January 23, 2026, 5:16 AM
20 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fjob-boards%2Egreenhouse%2Eio%2Faffirm%2Fjobs%2F7550524003%3Fgh_src%3D689c81d53us&urlhash=HDqU&isSdui=true,
AI/ML Engineer II- Intelligence Accelerator ,"Okta, Inc.","Toronto, ON (Hybrid)","Posted on January 23, 2026, 7:15 AM
18 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Eokta%2Ecom%2Fcompany%2Fcareers%2Fopportunity%2F7435092%3Fgh_jid%3D7435092%26gh_src%3D7j0um41&urlhash=ZDoD&isSdui=true,
"Senior Software Developer 2, Artificial Intelligence ",D2L,"Toronto, ON","Posted on January 23, 2026, 5:04 AM
20 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ed2l%2Ecom%2Fcareers%2Fjobs%2F%3Fjob_id%3D6911941%26gh_jid%3D6911941%26gh_src%3DLinkedIn&urlhash=Z0id&isSdui=true,
"Applied Scientist, Off-Search Relevance, Sponsored Products ",Amazon,"Toronto, ON","Posted on January 23, 2026, 3:27 AM
22 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F3165167%2Fapplied-scientist-offsearch-relevance-sponsored-products%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlhash=vBFh&isSdui=true,
